hour,FaceCount,neutral,happiness,sadness,anger,fear,surprise,disgust,contempt,sample
0,0.60593692,0.816683201,0.159219429,0.015717568,0.001689154,9.71E-05,0.001329804,0.000297338,0.004966386,1
1,0.252525253,0.974689233,0.010973081,0.010815354,0.001864622,9.02E-05,0.001452832,5.41E-05,6.05E-05,1
2,0.252525253,0.974689233,0.010973081,0.010815354,0.001864622,9.02E-05,0.001452832,5.41E-05,6.05E-05,1
3,0.252525253,0.974689233,0.010973081,0.010815354,0.001864622,9.02E-05,0.001452832,5.41E-05,6.05E-05,1
4,0.252525253,0.974689233,0.010973081,0.010815354,0.001864622,9.02E-05,0.001452832,5.41E-05,6.05E-05,1
5,0.252525253,0.974689233,0.010973081,0.010815354,0.001864622,9.02E-05,0.001452832,5.41E-05,6.05E-05,1
6,0.735720104,0.915308238,0.012701261,0.038854497,0.00244074,0.000314458,0.027349062,0.000626888,0.002404859,1
7,0.81916091,0.824298073,0.114689451,0.038908535,0.008774655,0.000503569,0.007340489,0.00151275,0.003972476,1
8,0.829693578,0.849359406,0.090491107,0.037964342,0.00598755,0.000323019,0.010398436,0.001287934,0.004188204,1
9,0.826160492,0.797367971,0.155124407,0.031561566,0.005748747,0.000397636,0.005484922,0.001144819,0.003169932,1
10,0.816840637,0.817961275,0.137641645,0.025780656,0.006186431,0.000373098,0.006736644,0.001585738,0.003734512,1
11,0.772414406,0.843141045,0.113195153,0.025916602,0.006115931,0.000308265,0.006639504,0.000999932,0.003683568,1
12,0.768314442,0.799822442,0.13430754,0.047689406,0.007177549,0.000568187,0.006409404,0.001284521,0.002740951,1
13,0.789356233,0.811861904,0.138440647,0.022888316,0.008633076,0.000516997,0.012208013,0.002014151,0.003436896,1
14,0.802778582,0.832396024,0.124155034,0.026603195,0.005489312,0.000338015,0.006529109,0.001448184,0.003041126,1
15,0.752938797,0.886294038,0.07501407,0.020729118,0.005882599,0.000397374,0.006534971,0.001028178,0.004119654,1
16,0.754967605,0.866225713,0.093028271,0.022459576,0.007993038,0.000314946,0.006264546,0.000900369,0.00281354,1
17,0.718496615,0.810033359,0.137257452,0.020785533,0.008027433,0.000335411,0.01304297,0.005925667,0.004592172,1
18,0.713068876,0.942702172,0.034343572,0.009704847,0.002550859,9.46E-05,0.007729267,0.000297832,0.002576834,1
19,0.648395835,0.935302142,0.006456227,0.014377395,0.005293317,0.000838851,0.034496395,0.001618357,0.001617316,1
20,0.531296166,0.952011302,0.019421802,0.007337022,0.007083503,0.000189795,0.00998491,0.001015135,0.002956522,1
21,0.610283868,0.963280755,0.01411284,0.006187432,0.003411265,0.000274225,0.010999834,0.000500982,0.001232658,1
22,0.620952001,0.985948642,0.002069276,0.004750251,0.002377032,0.000147088,0.003589312,0.000289232,0.000829159,1
23,0.533022774,0.870299182,0.061272033,0.057184712,0.002790603,0.000279733,0.001627478,0.001176492,0.005369758,1
