hour,FaceCount,neutral,happiness,sadness,anger,fear,surprise,disgust,contempt,sample
0,0.627994228,0.963196862,0.011354082,0.016934262,0.00296691,8.87E-05,0.002506297,0.000893372,0.00205948,1
1,1,0.99013745,4.35E-05,0.007306244,0.000268994,1.68E-05,0.000751849,3.97E-05,0.001435438,1
2,1,0.99013745,4.35E-05,0.007306244,0.000268994,1.68E-05,0.000751849,3.97E-05,0.001435438,1
3,1,0.99013745,4.35E-05,0.007306244,0.000268994,1.68E-05,0.000751849,3.97E-05,0.001435438,1
4,0.720250775,0.912573386,0.004203939,0.06994902,0.007597298,0.000156868,0.002358447,0.002270193,0.000890856,1
5,0.710515873,0.932717936,0.027063651,0.030356773,0.004311969,0.000314942,0.002480771,0.000839286,0.001914667,1
6,0.762740484,0.8994561,0.03905127,0.043724032,0.010275042,0.000273176,0.002729051,0.002239103,0.002252224,1
7,0.772070203,0.899261186,0.047846971,0.044106148,0.005296249,8.11E-05,0.001075447,0.000743667,0.00158922,1
8,0.837473792,0.831686137,0.122062313,0.032612576,0.005061654,0.000246637,0.004107423,0.000965998,0.003257263,1
9,0.829474297,0.851790233,0.110048604,0.024798932,0.0040642,0.000269971,0.005171732,0.001001714,0.002854613,1
10,0.832869473,0.84152331,0.114823978,0.021409863,0.006257559,0.000265181,0.010414884,0.001687008,0.003618217,1
11,0.839543894,0.841004853,0.115239391,0.026040172,0.004644215,0.000478442,0.008445595,0.00116348,0.002983851,1
12,0.771891905,0.831663109,0.125621677,0.023356597,0.005331757,0.000335473,0.007845821,0.001595421,0.004250142,1
13,0.832506075,0.804539821,0.159841346,0.017299502,0.004595522,0.000293965,0.009411821,0.001217117,0.002800907,1
14,0.820457621,0.842366998,0.115410715,0.024726088,0.00646524,0.000413205,0.00550712,0.001316293,0.00379434,1
15,0.822410168,0.838923643,0.121362881,0.019748408,0.005455345,0.000511604,0.008736681,0.001438984,0.003822455,1
16,0.789256587,0.827746389,0.133178206,0.023021404,0.004157909,0.000454951,0.006965493,0.000821167,0.00365448,1
17,0.793106875,0.84195236,0.111700573,0.027738398,0.006801174,0.000296807,0.006211318,0.00109033,0.00420904,1
18,0.726043784,0.920218731,0.03802468,0.025444111,0.005430176,0.000412305,0.005280977,0.001269625,0.003919396,1
19,0.700075723,0.914804703,0.038355351,0.024487736,0.004497119,0.001579819,0.00854794,0.001299588,0.006427748,1
20,0.813847773,0.90286124,0.06774192,0.013452659,0.00286889,0.000323927,0.0082819,0.001279994,0.003189471,1
21,0.758894269,0.927703402,0.02414363,0.036472869,0.007593621,0.000122961,0.001135681,0.001072357,0.001755475,1
22,0.765461919,0.864622806,0.111661741,0.009981665,0.003265095,0.000271598,0.006688753,0.000861698,0.002646647,1
23,0.70825581,0.952846398,0.019804042,0.011930451,0.003425896,6.90E-05,0.002620061,0.001062866,0.008241271,1
