hour,FaceCount,neutral,happiness,sadness,anger,fear,surprise,disgust,contempt,sample
0,0.585185185,0.976159444,0.006655044,0.012944814,0.000743662,5.97E-05,0.000753461,0.000878634,0.001805266,1
1,0.768253968,0.847984914,0.144825855,0.004602185,0.000873531,5.48E-05,0.000683772,0.000139585,0.000835377,1
2,0.768253968,0.847984914,0.144825855,0.004602185,0.000873531,5.48E-05,0.000683772,0.000139585,0.000835377,1
3,0.768253968,0.847984914,0.144825855,0.004602185,0.000873531,5.48E-05,0.000683772,0.000139585,0.000835377,1
4,0.768253968,0.847984914,0.144825855,0.004602185,0.000873531,5.48E-05,0.000683772,0.000139585,0.000835377,1
5,0.7,0.98798775,0.007517938,0.000791853,0.000505432,6.23E-05,0.00255371,4.96E-05,0.000531465,1
6,0.761904762,0.633474324,0.359954731,0.003242074,0.000333061,0.000268313,0.001574291,0.000349798,0.000803392,1
7,0.65978836,0.906253257,0.049700972,0.018919338,0.013162108,0.00060422,0.00810434,0.001104071,0.002151691,1
8,0.955767849,0.890648672,0.071966079,0.022314583,0.005777929,0.000503684,0.005778643,0.00083456,0.002175855,1
9,0.819218694,0.855168906,0.121543186,0.006558551,0.002887684,0.000425959,0.010275216,0.001395125,0.001745376,1
10,0.781221959,0.847790281,0.121949113,0.007186335,0.004390456,0.000850239,0.015787261,0.000846407,0.001199907,1
11,0.703653041,0.798841616,0.169846427,0.007209179,0.003295749,0.001275215,0.015844234,0.001075106,0.002612474,1
12,0.888818955,0.844786583,0.108035724,0.008855635,0.005346517,0.002205886,0.026535041,0.002233487,0.002001128,1
13,0.92235807,0.738050529,0.225826295,0.010268524,0.00422376,0.000778595,0.017545338,0.001500874,0.001806085,1
14,0.902798441,0.78698432,0.169884146,0.008294926,0.004808579,0.001510368,0.021199186,0.001887559,0.005430915,1
15,0.84024218,0.826083705,0.133247893,0.009249226,0.005890953,0.000897472,0.019585227,0.002541351,0.002504171,1
16,0.78717071,0.791608368,0.162704081,0.011394396,0.00561254,0.00173154,0.02171818,0.002150487,0.003080409,1
17,0.989689507,0.700733968,0.252535256,0.006583585,0.002986941,0.001246978,0.032809362,0.000965984,0.002137927,1
18,0.677454035,0.754612392,0.196172112,0.010431793,0.004996529,0.00085424,0.028498143,0.001267223,0.003167564,1
19,0.710405134,0.835868906,0.135310094,0.012737412,0.002754926,0.000645213,0.009064048,0.00082729,0.002792114,1
20,0.625609756,0.853496569,0.106399942,0.008298895,0.00973813,0.003589582,0.014173772,0.001523919,0.002779195,1
21,0.640634921,0.82391231,0.142264383,0.010684827,0.002163253,0.002335194,0.016881222,0.000808147,0.000950665,1
22,0.983274442,0.633954798,0.334667216,0.006858688,0.008074257,0.00126324,0.010725356,0.002280478,0.002175969,1
23,0.843589744,0.808761318,0.171784226,0.004409226,0.001213594,0.006302644,0.006618415,0.000327949,0.000582623,1
