hour,FaceCount,neutral,happiness,sadness,anger,fear,surprise,disgust,contempt,sample
0,0.72625,0.907134097,0.067189961,0.004853346,0.01110578,0.000466147,0.007789191,0.000386956,0.001074512,1
1,0.912280702,0.964942716,0.00607861,0.008458351,0.008330898,0.000791068,0.009356973,0.000683802,0.001357579,1
2,0.466666667,0.9856336,0.006381061,0.00249667,0.001290075,0.000161322,0.001621339,0.000448565,0.001967333,1
3,0.92,0.84295728,0.094928987,0.012825042,0.00503635,0.001208365,0.039949235,0.001654948,0.001439818,1
4,0.92,0.84295728,0.094928987,0.012825042,0.00503635,0.001208365,0.039949235,0.001654948,0.001439818,1
5,0.92,0.84295728,0.094928987,0.012825042,0.00503635,0.001208365,0.039949235,0.001654948,0.001439818,1
6,0.616666667,0.7999321,0.005879007,0.005358222,0.009393548,0.004657175,0.172261863,0.001777167,0.000740905,1
7,0.653333333,0.905666733,0.025448587,0.002579043,0.001006783,0.000205705,0.06467681,5.95E-05,0.000356827,1
8,0.694003901,0.874657284,0.080915258,0.01802294,0.007214773,0.00125001,0.013394381,0.002106228,0.002439128,1
9,0.910941763,0.799537727,0.169045929,0.011733198,0.002150815,0.00069162,0.014494675,0.00071771,0.001628324,1
10,0.935577755,0.801394357,0.150865687,0.006349832,0.00844812,0.000811983,0.026076778,0.004508711,0.001544532,1
11,0.829405866,0.78825056,0.179137294,0.007503243,0.003061179,0.000919121,0.017585905,0.001036706,0.002505993,1
12,0.777121064,0.837187281,0.120816793,0.017326307,0.003203258,0.000760834,0.017892606,0.001492809,0.001320113,1
13,0.835047041,0.788466918,0.18008984,0.005370325,0.002580832,0.000737704,0.020422511,0.001091923,0.001239948,1
14,0.789911063,0.806309893,0.158697077,0.007839131,0.004812685,0.00167824,0.017480306,0.001816066,0.001366603,1
15,0.935384693,0.760393494,0.202189749,0.009015931,0.005892545,0.001801502,0.01677284,0.001573886,0.002360054,1
16,0.745370472,0.820532988,0.137716141,0.00701274,0.003342335,0.001387981,0.026838211,0.001358345,0.001811259,1
17,0.892030614,0.66229261,0.29823239,0.004998975,0.00268336,0.001015677,0.026229422,0.001000201,0.003547365,1
18,0.819070956,0.855913911,0.10765188,0.014936936,0.004547861,0.001036446,0.012881098,0.001280406,0.001751461,1
19,0.840922619,0.918964174,0.033404169,0.005497051,0.003078364,0.000671769,0.035494041,0.000632893,0.00225754,1
20,0.648891626,0.663418137,0.292458725,0.013631204,0.002458677,0.001064867,0.018371814,0.001076181,0.007520399,1
21,0.577777778,0.990645533,0.003987778,0.003298659,0.001364911,2.84E-05,0.000157807,0.000160321,0.000356555,1
22,0.61372549,0.958616629,0.026174468,0.007685827,0.002131952,0.000196742,0.003036729,0.000386155,0.001771503,1
23,0.777142857,0.943245743,0.045487756,0.006818826,0.001300366,0.000159104,0.001962056,0.000279736,0.000746409,1
