hour,FaceCount,neutral,happiness,sadness,anger,fear,surprise,disgust,contempt,sample
0,0.901325758,0.889665272,0.059330457,0.011038219,0.01100282,0.000536417,0.022356134,0.003831742,0.002238938,1
1,0.558730159,0.813894013,0.15482576,0.004121855,0.002261227,6.87E-05,0.001097804,0.002134513,0.021596099,1
2,0.558730159,0.813894013,0.15482576,0.004121855,0.002261227,6.87E-05,0.001097804,0.002134513,0.021596099,1
3,0.558730159,0.813894013,0.15482576,0.004121855,0.002261227,6.87E-05,0.001097804,0.002134513,0.021596099,1
4,0.066666667,0.843659,0.108133,0.004177467,0.01168941,0.001647419,0.02831281,0.001058414,0.001322401,1
5,0.666666667,0.6642854,0.3329214,0.000806235,7.04E-05,3.25E-05,0.001365292,0.000158703,0.000359969,1
6,0.788942308,0.899113403,0.089026957,0.004741931,0.000435279,0.00038902,0.005721246,0.000291726,0.000280429,1
7,0.604632035,0.911180668,0.046638055,0.010781574,0.002545624,0.000363643,0.027613057,0.000333171,0.000544199,1
8,0.748186283,0.911988921,0.043562277,0.028432473,0.007354326,0.000272708,0.006189385,0.00100935,0.001190561,1
9,0.701430114,0.842229115,0.12777825,0.010414422,0.006352635,0.000453961,0.009684097,0.001413615,0.001673907,1
10,0.777408921,0.846670134,0.113527444,0.013638261,0.006923541,0.000765857,0.013976303,0.001824793,0.002673667,1
11,0.744844507,0.835930123,0.130456273,0.008290713,0.006853948,0.000872069,0.014138297,0.001565974,0.001892603,1
12,0.811473826,0.777700769,0.191017409,0.008833351,0.00706056,0.000404035,0.010134234,0.001860339,0.002989305,1
13,0.778810625,0.842593624,0.124093419,0.007525213,0.006768778,0.000889936,0.015085665,0.001408375,0.001634991,1
14,1.043490648,0.768445984,0.161290628,0.018258402,0.009826981,0.000771762,0.034254338,0.004152627,0.00299928,1
15,0.816127978,0.835922608,0.128103527,0.010878512,0.006248155,0.000683196,0.013800897,0.001622989,0.002740116,1
16,0.72940941,0.869235267,0.102521444,0.007168738,0.004577877,0.000608158,0.012209408,0.001413399,0.00226571,1
17,0.712489998,0.881442933,0.081449619,0.01634541,0.005930915,0.000795469,0.010279491,0.001069197,0.002686968,1
18,0.636090592,0.881586206,0.078306854,0.01024064,0.011417546,0.001213724,0.012124677,0.001846897,0.003263455,1
19,0.650746143,0.850746514,0.117565062,0.009826152,0.002673976,0.00197508,0.014886867,0.000919927,0.001406418,1
20,0.710284479,0.912057687,0.050228362,0.022550673,0.005591941,0.000242674,0.003319078,0.000806738,0.005202855,1
21,0.721984127,0.721841875,0.233821924,0.002515947,0.009929061,0.001547925,0.024049873,0.001007157,0.005286232,1
22,0.723809524,0.99535965,0.000433484,0.000375135,0.000241859,4.07E-05,0.003436709,1.83E-05,9.41E-05,1
23,1.004145854,0.918762889,0.052086747,0.016663752,0.004476436,0.000147613,0.006134757,0.000539701,0.001188106,1
