hour,FaceCount,neutral,happiness,sadness,anger,fear,surprise,disgust,contempt,sample
0,0.596076146,0.985685756,0.002710888,0.003618569,0.002268258,0.000116371,0.003831579,0.00087686,0.000891717,1
1,0.133333333,0.9069409,0.05358274,0.02217435,0.007202116,0.002554708,0.005532428,0.000924614,0.001088114,1
2,0.066666667,0.8368506,0.03249184,0.1176962,0.005819657,0.001433469,0.003178664,0.000686386,0.001843129,1
3,0.066666667,0.8368506,0.03249184,0.1176962,0.005819657,0.001433469,0.003178664,0.000686386,0.001843129,1
4,0.59599359,0.932528283,0.0146576,0.033190395,0.008886262,0.000932734,0.00367791,0.004814142,0.001312665,1
5,0.438290197,0.859131798,0.054885997,0.045521411,0.013723812,0.005446174,0.01610796,0.002873747,0.002309102,1
6,0.485919312,0.903803987,0.036886996,0.029906534,0.010680169,0.002229927,0.011121381,0.003004081,0.002366925,1
7,0.722217293,0.914789401,0.036659751,0.027629104,0.008318015,0.000137403,0.00672121,0.001724008,0.00402111,1
8,0.824495969,0.787032239,0.184370454,0.011857701,0.003815233,0.000340957,0.007970433,0.001386659,0.003226325,1
9,0.776271252,0.816900552,0.151539715,0.013396843,0.005346163,0.000274175,0.005055347,0.002435389,0.005051818,1
10,0.824803116,0.8129804,0.160479585,0.008513712,0.005177431,0.000547559,0.007782989,0.001188352,0.00332997,1
11,0.734080634,0.802869992,0.174741576,0.007025346,0.004637023,0.000225804,0.006492484,0.001817116,0.002190659,1
12,0.730507106,0.698266326,0.262452604,0.017808675,0.005642904,0.000472728,0.011445985,0.001484248,0.002426529,1
13,0.728911837,0.815434172,0.141501961,0.008798163,0.006805159,0.000460367,0.021474443,0.002579441,0.002946295,1
14,0.717051639,0.796361472,0.163607051,0.013746399,0.006501367,0.000804255,0.014406498,0.001625126,0.002947834,1
15,0.677769453,0.827732223,0.131151972,0.011088666,0.005302935,0.000472979,0.020325775,0.001398904,0.002526546,1
16,0.79924382,0.909121839,0.055621024,0.015649474,0.006216322,0.000389581,0.009022724,0.001083289,0.002895747,1
17,0.670489041,0.872135968,0.101535782,0.009268654,0.005381316,0.000449734,0.007844528,0.000590479,0.00279354,1
18,0.581345574,0.882470003,0.087801379,0.012008032,0.004206172,0.000335001,0.00789318,0.001880511,0.003405731,1
19,0.541364566,0.948539595,0.027261906,0.007305605,0.002922879,0.000644852,0.011873182,0.000460772,0.000991207,1
20,0.596948514,0.835608712,0.136325623,0.011313515,0.003200828,0.000278546,0.011514168,0.00078945,0.000969159,1
21,0.49375,0.905566183,0.043801782,0.009920774,0.004017079,0.005888439,0.027091861,0.00068926,0.003024619,1
22,0.528349653,0.88683952,0.044352073,0.016983462,0.026497023,0.003979364,0.016832359,0.001313139,0.003203063,1
23,0.730519481,0.914126518,0.04198331,0.014631328,0.005340293,0.000440096,0.017858691,0.003360353,0.002259412,1
